,COUNTRY,ST_/_PROV,CITY,STREET_ADDRESS,POSTAL_CODE,STRUCTURE_CATEGORY,ON-NET_TYPE,BUILDING_NAME,ZAYO_BUILDING_CODE,CLLI_CODE,LATA,NPA,NXX,LATITUDE,LONGITUDE,MARKET,geometry,LAT_LON
3182,CANADA,QC,Montreal,300 Rue Bridge,H3K 2C3,Enterprise Location,Fiber Only,420591.0,,MTRLPQMB,888,,,45.485761,-73.553496,Montreal QC,POINT (-73.553496 45.485761),45.485761-73.553496
18424,CANADA,QC,Montreal,300 Rue Brg,H3K 2C3,Enterprise Location,On-Net,453229.0,,MTRLPQMB,888,,,45.485761,-73.553496,Montreal QC,POINT (-73.553496 45.485761),45.485761-73.553496
4543,CANADA,QC,Montreal,1980 Sherbrooke St W,H3H 1E8,Enterprise Location,Fiber Only,407041.0,,,888,,,45.493786,-73.583639,Montreal QC,POINT (-73.58363900000001 45.493786),45.493786-73.583639
6348,CANADA,QC,Montreal,1980 Rue Sherbrooke W,H3H 1E8,Enterprise Location,Fiber Only,425541.0,,MTLXPQBR,888,,,45.493786,-73.583639,Montreal QC,POINT (-73.58363900000001 45.493786),45.493786-73.583639
7764,CANADA,QC,Saint-Laurent,6505 Rte Transcanadienne,H4T 1S3,Enterprise Location,Fiber Only,452692.0,,SLRMPQAJ,888,,,45.495219,-73.690759,Montreal QC,POINT (-73.690759 45.495219),45.495219-73.690759
13201,CANADA,QC,Saint-Laurent,6505 Rte Transcanadienne,H4T 1S3,Enterprise Location,Fiber Only,430532.0,,SLRMPQAJ,888,,,45.495219,-73.690759,Montreal QC,POINT (-73.690759 45.495219),45.495219-73.690759
18337,CANADA,QC,Montreal,1000 Rue de la Gauchetiere O,H3B 4W5,Enterprise Location,On-Net,425711.0,,MTRLPQXD,888,,,45.498209,-73.566227,Montreal QC,POINT (-73.566227 45.498209),45.498209-73.566227
19835,CANADA,QC,Montreal,175 Rue de L Eglise,H3B 2N2,Enterprise Location,On-Net,424721.0,,MTRLPQFN,888,,,45.498209,-73.566227,Montreal QC,POINT (-73.566227 45.498209),45.498209-73.566227
3741,CANADA,QC,Montreal,5 Ville-Marie Pl,H3B 2G2,Enterprise Location,Fiber Only,407091.0,,,888,,,45.500647,-73.569534,Montreal QC,POINT (-73.569534 45.500647),45.500647-73.569534
18431,CANADA,QC,Montreal,5 Place Ville Marie,H3B 2G2,Enterprise Location,On-Net,451547.0,,MTLXPQNC,888,,,45.500647,-73.569534,Montreal QC,POINT (-73.569534 45.500647),45.500647-73.569534
3692,CANADA,QC,Montreal,600 Rene-Levesque Blvd W,H3B 1N4,Enterprise Location,Fiber Only,407102.0,,,888,,,45.502689,-73.566081,Montreal QC,POINT (-73.566081 45.502689),45.502689-73.566081
17094,CANADA,QC,Montreal,600 Boul Rene-Levesque W,H3B 1N4,Enterprise Location,On-Net,425611.0,,MTLXPQUZ,888,,,45.502689,-73.566081,Montreal QC,POINT (-73.566081 45.502689),45.502689-73.566081
4510,CANADA,QC,Montreal,615 Rene-Levesque Blvd W,H3B 1P5,Enterprise Location,Fiber Only,407105.0,,,888,,,45.502893,-73.566962,Montreal QC,POINT (-73.566962 45.502893),45.502893-73.566962
18347,CANADA,QC,Montreal,615 Boul Rene-Levesque O,H3B 1P6,Enterprise Location,On-Net,425668.0,,MTRLPQLS,888,,,45.502893,-73.566962,Montreal QC,POINT (-73.566962 45.502893),45.502893-73.566962
15598,CANADA,QC,Montreal,606 Cathcart St,H3B 1K9,Enterprise Location,On-Net,407103.0,,,888,,,45.50339,-73.567923,Montreal QC,POINT (-73.56792299999999 45.50339),45.50339-73.567923
17019,CANADA,QC,Montreal,606 Rue Cathcart,H3B 1K9,Enterprise Location,On-Net,425598.0,,MTLXPQEW,888,,,45.50339,-73.567923,Montreal QC,POINT (-73.56792299999999 45.50339),45.50339-73.567923
3758,CANADA,QC,Montreal,416 De Maisonneuve Blvd W,H3A 1L2,Enterprise Location,Fiber Only,407081.0,,,888,,,45.506071,-73.569519,Montreal QC,POINT (-73.569519 45.506071),45.506071-73.569519
19513,CANADA,QC,Montreal,416 Boul de Maisonneuve O,H3A 1L2,Enterprise Location,On-Net,424691.0,,MTLXPQII,888,,,45.506071,-73.569519,Montreal QC,POINT (-73.569519 45.506071),45.506071-73.569519
10579,CANADA,QC,Laval,2905 Louis-R.-Renaud Place,H7V 0A3,Enterprise Location,Fiber Only,424568.0,,LVANPQDW,888,,,45.55597,-73.731435,Montreal QC,POINT (-73.731435 45.55597),45.55597-73.731435
18417,CANADA,QC,Laval,2805 Place Louis-R Renaud,H7V 0A3,Enterprise Location,On-Net,454231.0,,CHOMPQEM,888,,,45.55597,-73.731435,Montreal QC,POINT (-73.731435 45.55597),45.55597-73.731435
